UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
239080,Marian University,1107,96,16745,4221,6,
239105,Marquette University,7363,96,26095,4950,10,
237525,Marshall University,6475,81,10023,5449,6,
232706,Marymount University,1665,75,21312,4900,9,
220710,Maryville College,1037,99,27903,5087,13,
213826,Marywood University,1689,94,24753,4974,,
226587,McMurry University,1119,98,19222,5094,,
213987,Mercyhurst University,2510,95,29009,4715,,
417752,Messenger College,32,100,8748,5061,,
213996,Messiah University,2361,95,26414,4724,10,
220978,Middle Tennessee State University,17419,97,7941,4804,4,
230959,Middlebury College,1289,45,54427,5387,18,
226833,Midwestern State University,5021,100,7972,5088,,
214041,Millersville University of Pennsylvania,4599,74,5853,4256,7,
449861,Milwaukee Career College,187,62,3980,3765,,
239309,Milwaukee Institute of Art & Design,896,100,25338,4933,17,
239318,Milwaukee School of Engineering,2494,97,28782,4357,10,
214069,Misericordia University,1241,70,22731,4859,8,
214148,Moore College of Art and Design,355,100,23540,5018,29,
214157,Moravian University,1764,91,30755,4754,12,
214166,Mount Aloysius College,1001,37,14239,4435,7,
209241,Mount Angel Seminary,13,38,5580,5151,,
219198,Mount Marty University,560,53,23972,4539,6,
239390,Mount Mary University,643,90,23006,4915,8,
214175,Muhlenberg College,1894,91,34766,4854,21,
209287,Multnomah University,320,95,13686,4315,6,
214272,Neumann University,1509,87,19842,4617,8,
445692,Neumont College of Computer Science,489,95,14229,6390,,
441900,Nevada State University,2865,40,5936,4179,,
262129,New College of Florida,626,99,13841,4845,14,
217305,New England Institute of Technology,1441,83,15388,5460,,
208725,New Hope Christian College-Eugene,36,82,20582,6203,,
218414,Newberry College,1226,100,24030,5059,5,
232937,Norfolk State University,4650,93,11797,5112,,
218441,North Greenville University,1590,80,17301,4997,9,
207263,Northeastern State University,4897,89,7099,4883,,
