instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
Paul Mitchell the School-Fresno,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,80,262,71,98,0,,,,,,,,,,,5,3335,176,55,121
Paul Mitchell the School-Gastonia,37,NC,1,1,-2,-2,-2,-2,-2,1,,,,,81,254,50,85,5,,,,,,,,,,,2,3300,228,5,223
Paul Mitchell the School-Grand Rapids,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,100,84,63,92,0,,,,,,,,,,,2,3260,55,3,52
Paul Mitchell the School-Great Lakes,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,67,64,86,67,0,,,,,,,,,,,3,3972,48,1,47
Paul Mitchell the School-Greenville,45,SC,1,1,-2,-2,-2,-2,-2,1,,,,,90,147,71,84,0,,,,,,,,,,,3,2719,108,5,103
Paul Mitchell the School-Honolulu,15,HI,1,1,-2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,2,4750,,,
Paul Mitchell the School-Houston,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,89,314,74,76,0,,,,,,,,,,,2,3003,213,3,210
Paul Mitchell the School-Huntsville,1,AL,1,1,-2,-2,-2,-2,-2,1,,,,,78,102,54,82,5,,,,,,,,,,,3,2500,102,2,100
Paul Mitchell the School-Indianapolis,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,86,224,63,85,0,,,,,,,,,,,2,3300,138,3,135
Paul Mitchell the School-Jacksonville,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,88,117,84,69,0,,,,,,,,,,,1,4595,69,1,68
Paul Mitchell the School-Jessup,24,MD,1,1,-2,-2,-2,-2,-2,1,,,,,85,125,51,74,1,,,,,,,,,,,2,3900,112,16,96
Paul Mitchell the School-Knoxville,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,67,113,47,86,0,,,,,,,,,,,3,2800,107,31,76
Paul Mitchell the School-Las Vegas,32,NV,1,1,-2,-2,-2,-2,-2,1,,,,,90,219,77,86,19,,,,,,,,,,,3,3993,158,11,147
Paul Mitchell the School-Lexington,21,KY,1,1,-2,-2,-2,-2,-2,1,,,,,89,204,74,79,0,,,,,,,,,,,3,3180,123,8,115
Paul Mitchell the School-Little Rock,5,AR,1,1,-2,-2,-2,-2,-2,1,,,,,98,411,51,96,2,,,,,,,,,,,3,5422,407,24,383
Paul Mitchell the School-Logan,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,92,125,72,47,4,,,,,,,,,,,5,2612,125,9,116
Paul Mitchell the School-Lombard,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,60,73,46,80,5,,,,,,,,,,,3,3714,65,2,63
Paul Mitchell the School-Louisville,21,KY,1,1,-2,-2,-2,-2,-2,1,,,,,74,219,64,84,0,,,,,,,,,,,3,3180,148,4,144
Paul Mitchell the School-Madison,55,WI,1,1,-2,-2,-2,-2,-2,1,,,,,67,52,40,89,0,,,,,,,,,,,2,2017,52,23,29
Paul Mitchell the School-Memphis,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,43,189,61,86,0,,,,,,,,,,,3,3218,126,4,122
Paul Mitchell the School-Merrillville,18,IN,1,1,-2,-2,-2,-2,-2,1,,,,,80,70,83,91,0,,,,,,,,,,,2,3290,70,2,68
Paul Mitchell the School-Miami,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,100,112,90,90,0,,,,,,,,,,,1,2474,45,2,43
Paul Mitchell the School-Michigan,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,82,162,100,93,0,,,,,,,,,,,2,3768,129,4,125
Paul Mitchell the School-Milwaukee,55,WI,1,1,-2,-2,-2,-2,-2,1,,,,,60,111,44,80,0,,,,,,,,,,,2,2383,70,18,52
Paul Mitchell the School-Missouri Columbia,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,90,149,76,86,0,,,,,,,,,,,3,2580,149,14,135
Paul Mitchell the School-Modesto,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,91,305,64,82,0,,,,,,,,,,,4,2583,193,21,172
Paul Mitchell the School-Murfreesboro,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,89,231,59,78,0,,,,,,,,,,,3,2950,142,1,141
Paul Mitchell the School-Murfreesboro-Nashville,47,TN,1,1,-2,-2,-2,-2,-2,1,,,,,67,266,61,77,0,,,,,,,,,,,3,2950,171,6,165
Paul Mitchell the School-Nampa,16,ID,1,1,-2,-2,-2,-2,-2,1,,,,,78,107,64,98,0,,,,,,,,,,,4,2650,106,19,87
Paul Mitchell the School-New Orleans,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,80,226,65,96,0,,,,,,,,,,,3,2995,125,3,122
Paul Mitchell the School-Normal,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,86,79,79,96,48,,,,,,,,,,,3,2304,52,2,50
Paul Mitchell the School-North Haven,9,CT,1,1,-2,-2,-2,-2,-2,1,,,,,89,191,66,89,6,,,,,,,,,,,4,4909,158,2,156
Paul Mitchell the School-North Tahoe,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,100,9,70,83,0,,,,,,,,,,,2,3275,9,4,5
Paul Mitchell the School-NYC,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,94,75,83,57,0,,,,,,,,,,,2,3261,57,2,55
Paul Mitchell the School-Orlando,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,91,133,60,89,0,,,,,,,,,,,2,3295,72,15,57
Paul Mitchell the School-Overland Park,20,KS,1,1,-2,-2,-2,-2,-2,1,,,,,87,189,67,84,4,,,,,,,,,,,2,2573,179,6,173
Paul Mitchell the School-Pasadena,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,67,200,68,89,0,,,,,,,,,,,3,4511,97,21,76
Paul Mitchell the School-Phoenix,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,71,102,63,87,9,,,,,,,,,,,3,2558,102,8,94
Paul Mitchell the School-Portsmouth,33,NH,1,1,-2,-2,-2,-2,-2,1,,,,,78,61,82,76,14,,,,,,,,,,,2,2995,56,3,53
Paul Mitchell the School-Provo,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,88,135,67,84,3,,,,,,,,,,,6,2650,134,21,113
Paul Mitchell the School-Raleigh,37,NC,1,1,-2,-2,-2,-2,-2,1,,,,,57,133,70,87,0,,,,,,,,,,,2,2410,87,4,83
Paul Mitchell the School-Rapid City,46,SD,1,1,-2,-2,-2,-2,-2,1,,,,,90,79,78,87,35,,,,,,,,,,,4,2725,72,1,71
Paul Mitchell the School-Reno,32,NV,1,1,-2,-2,-2,-2,-2,1,,,,,78,212,78,80,0,,,,,,,,,,,3,3295,149,21,128
Paul Mitchell the School-Rexburg,16,ID,1,1,-2,-2,-2,-2,-2,1,,,,,91,246,90,91,82,,,,,,,,,,,4,4081,246,16,230
Paul Mitchell the School-Rhode Island,44,RI,1,1,-2,-2,-2,-2,-2,1,,,,,75,170,52,63,16,,,,,,,,,,,3,2669,93,2,91
Paul Mitchell the School-Richland,53,WA,1,1,-2,-2,-2,-2,-2,1,,,,,93,288,62,95,0,,,,,,,,,,,5,2650,288,37,251
Paul Mitchell the School-Roanoke,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,78,73,39,88,0,,,,,,,,,,,1,3011,56,3,53
Paul Mitchell the School-Sacramento,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,95,342,87,71,0,,,,,,,,,,,4,1960,199,33,166
Paul Mitchell the School-Salt Lake City,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,89,289,50,90,0,,,,,,,,,,,6,2750,112,15,97
Paul Mitchell the School-San Antonio,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,94,352,88,83,31,,,,,,,,,,,4,2630,282,42,240
Paul Mitchell the School-San Diego,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,82,250,63,86,5,,,,,,,,,,,5,3176,189,29,160
Paul Mitchell the School-San Jose,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,44,108,33,97,0,,,,,,,,,,,1,4581,108,4,104
Paul Mitchell the School-Schenectady,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,100,93,77,88,0,,,,,,,,,,,3,4400,87,15,72
Paul Mitchell the School-Sherman Oaks,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,57,280,78,82,1,,,,,,,,,,,2,2604,201,43,158
Paul Mitchell the School-Spokane,53,WA,1,1,-2,-2,-2,-2,-2,1,,,,,94,195,70,85,0,,,,,,,,,,,6,2650,191,52,139
Paul Mitchell the School-Springfield,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,50,263,64,93,0,,,,,,,,,,,4,1527,263,33,230
Paul Mitchell the School-St Louis,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,82,209,74,79,12,,,,,,,,,,,1,4841,207,9,198
Paul Mitchell the School-St. George,49,UT,1,1,-2,-2,-2,-2,-2,1,,,,,72,103,62,45,11,,,,,,,,,,,4,2788,97,7,90
Paul Mitchell the School-Tampa,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,79,136,65,69,0,,,,,,,,,,,2,4595,81,11,70
Paul Mitchell the School-Temecula,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,86,275,70,82,6,,,,,,,,,,,3,3564,275,34,241
Paul Mitchell the School-Tinley Park,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,100,253,62,93,7,,,,,,,,,,,4,3597,172,8,164
Paul Mitchell the School-Toledo,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,80,169,56,94,0,,,,,,,,,,,2,3234,91,2,89
Paul Mitchell the School-Tulsa,40,OK,1,1,-2,-2,-2,-2,-2,1,,,,,73,249,63,85,3,,,,,,,,,,,2,3315,245,11,234
Paul Mitchell the School-Twin Falls,16,ID,1,1,-2,-2,-2,-2,-2,1,,,,,67,62,57,94,0,,,,,,,,,,,4,2650,62,1,61
Paul Mitchell the School-Tysons Corner,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,89,94,83,73,0,,,,,,,,,,,1,3555,62,2,60
Paul Mitchell the School-Wichita,20,KS,1,1,-2,-2,-2,-2,-2,1,,,,,67,172,65,94,22,,,,,,,,,,,2,3675,111,43,68
Paul Mitchell the School-Woodbridge,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,,,59,,,,,,,,,,,,,1,2315,,,
Paul Quinn College,48,TX,1,1,0,2,1,2,1,2,24748,24748,34,15,56,600,38,98,98,3,3398,1149,147,,13498,1000,13498,8898,8898,,,378,158,220
Paul Smiths College of Arts and Science,36,NY,1,1,0,2,2,2,2,2,51655,51655,91,16,76,582,53,100,100,3,939,852,135,,32049,1000,32049,32012,32012,,,577,371,206
Payne Theological Seminary,39,OH,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
PC AGE-Metropark,34,NJ,1,1,-2,-2,-2,-2,-2,1,,,,,79,56,55,53,0,,,,,,,,,,,1,0,56,49,7
PCI Academy-Ames,19,IA,1,1,-2,2,2,2,2,1,,,,,67,170,27,84,36,,,,,,,,,,,3,0,85,0,85
PCI Academy-Iowa City,19,IA,1,1,-2,2,2,2,2,1,,,,,100,103,65,73,45,,,,,,,,,,,3,0,68,1,67
PCI Academy-Plymouth,27,MN,1,1,-2,-2,-2,-2,-2,1,,,,,80,114,67,67,33,,,,,,,,,,,2,0,59,0,59
PCI College,6,CA,1,1,0,2,2,2,2,1,,,,,,168,77,89,0,,,,,,,,,,,5,1145,167,2,165
PCI Health Training Center,48,TX,1,1,-2,-2,-2,-2,-2,2,,,100,91,90,215,100,92,0,3,152,152,138,,,,,,,3,693,215,13,202
Pearl River Community College,28,MS,1,1,0,2,2,2,2,1,13048,15048,,,60,5620,35,95,52,,,,,,5650,1350,3650,3400,5400,,,3962,1391,2571
Pearlands Innovative School of Beauty,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,0,84,100,100,0,,,,,,,,,,,2,800,36,1,35
Peirce College,42,PA,1,1,0,2,2,2,2,1,,,,,0,790,5,100,50,,,,,,15060,1200,15060,14400,14400,,,149,37,112
Pellissippi State Community College,47,TN,1,1,0,2,2,2,2,1,,,,,57,8710,28,94,6,,,,,,17776,1300,4576,4224,17424,,,4283,2069,2214
Peloton College,48,TX,1,1,0,2,2,2,2,1,,,,,36,63,88,98,1,,,,,,,,,,,3,400,103,9,94
Peloton College,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,75,103,78,100,0,,,,,,,,,,,3,400,63,18,45
Peninsula College,53,WA,1,1,0,2,2,2,2,1,,,,,,1837,41,78,23,,,,,,5111,762,4586,4074,4599,,,895,348,547
Penn Commercial Business/Technical School,42,PA,1,1,0,2,2,2,2,2,,,73,64,90,223,73,58,0,3,90,66,42,,13654,2950,13654,12654,12654,,,223,86,137
Pennco Tech-Blackwood,34,NJ,1,1,-2,2,2,2,2,1,,,,,71,996,69,76,26,,,,,,,,,,,7,1600,714,582,132
Pennco Tech-Bristol,42,PA,1,1,0,2,2,2,2,1,,,,,75,603,78,79,25,,,,,,,,,,,13,1645,441,383,58
Pennsylvania Academy of the Fine Arts,42,PA,1,1,0,2,2,2,2,2,71438,71438,88,11,83,99,68,100,95,3,192,168,18,,44600,1768,44600,43000,43000,,,97,32,65
Pennsylvania College of Art and Design,42,PA,1,1,0,2,2,2,2,2,46755,46755,46,31,83,323,64,100,100,3,677,311,94,,31370,1650,31370,29250,29250,,,289,75,214
Pennsylvania College of Health Sciences,42,PA,1,1,0,2,2,2,2,2,,,44,47,65,1648,67,88,10,5,451,199,59,0,31866,3500,31866,31438,31438,,,651,81,570
Pennsylvania College of Technology,42,PA,1,1,1,2,1,1,1,1,35271,43011,,,76,4287,50,87,39,,,,,,25680,1549,17940,15450,23190,,,3517,2550,967
Pennsylvania Gunsmith School,42,PA,1,1,-2,2,2,2,2,1,,,,,93,68,77,75,0,,,,,,,,,,,1,9820,68,66,2
Pennsylvania Highlands Community College,42,PA,1,1,0,2,2,2,2,1,,,,,54,2286,41,76,8,,,,,,13080,2000,9360,7080,10800,,,564,234,330
Pennsylvania Institute of Technology,42,PA,1,1,0,2,2,2,2,1,,,,,,662,33,94,6,,,,,,14445,1050,14445,13095,13095,,,336,43,293
Pennsylvania State System of Higher Education-Central Office,42,PA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Main Campus,42,PA,1,1,1,1,1,1,1,2,39892,59846,54,19,92,42223,86,66,35,5,85956,46605,9004,33,40188,1840,20234,19672,39626,,,41011,21532,19479
Pennsylvania State University-Penn State Abington,42,PA,1,1,1,2,1,1,1,2,33780,43928,92,15,77,3095,22,80,68,5,6575,6051,903,28,25388,1840,15240,14684,24832,,,2861,1691,1170
Pennsylvania State University-Penn State Altoona,42,PA,1,1,1,2,1,1,2,2,36392,47116,97,12,77,2421,18,83,62,5,7134,6942,854,27,26668,1840,15944,15388,26112,,,2358,1270,1088
Pennsylvania State University-Penn State Beaver,42,PA,1,1,0,2,2,2,2,2,33860,43352,92,11,76,504,21,91,83,5,1603,1478,165,24,23872,1840,14380,13824,23316,,,474,266,208
Pennsylvania State University-Penn State Berks,42,PA,1,1,1,2,1,1,1,2,36804,47528,97,10,77,1940,24,82,62,5,5844,5676,586,29,26668,1840,15944,15388,26112,,,1737,1003,734
Pennsylvania State University-Penn State Brandywine,42,PA,1,1,0,2,2,2,2,2,35628,45566,95,19,72,1223,21,84,69,5,2461,2346,436,30,25118,1840,15180,14624,24562,,,1127,704,423
Pennsylvania State University-Penn State DuBois,42,PA,1,1,0,2,2,2,2,2,,,93,22,79,353,29,98,95,5,481,445,98,29,23872,1840,14380,13824,23316,,,307,182,125
Pennsylvania State University-Penn State Erie-Behrend College,42,PA,1,1,1,2,1,1,1,2,37346,48070,96,19,82,3226,46,84,64,5,4827,4620,855,34,26668,1840,15944,15388,26112,,,3063,1940,1123
Pennsylvania State University-Penn State Fayette- Eberly,42,PA,1,1,0,2,2,2,2,2,,,92,17,74,419,34,98,92,5,731,670,117,14,23872,1840,14380,13824,23316,,,406,196,210
Pennsylvania State University-Penn State Great Valley,42,PA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Pennsylvania State University-Penn State Greater Allegheny,42,PA,1,1,0,2,2,2,2,2,33030,42522,95,23,69,361,27,93,86,5,581,550,123,16,23872,1840,14380,13824,23316,,,344,215,129
Pennsylvania State University-Penn State Harrisburg,42,PA,1,1,1,2,1,1,1,2,38442,49166,96,12,82,4164,29,65,53,5,10296,9924,1204,27,26668,1840,15944,15388,26112,,,3956,2433,1523
Pennsylvania State University-Penn State Hazleton,42,PA,1,1,0,2,2,2,2,2,33830,43768,91,31,72,510,18,97,93,5,714,650,199,26,25118,1840,15180,14624,24562,,,484,278,206
Pennsylvania State University-Penn State Lehigh Valley,42,PA,1,1,0,2,2,2,2,2,,,94,16,82,954,17,86,70,5,1848,1741,281,27,25118,1840,15180,14624,24562,,,832,492,340
Pennsylvania State University-Penn State Mont Alto,42,PA,1,1,0,2,2,2,2,2,33030,42522,90,24,75,587,25,90,81,5,608,549,132,26,23872,1840,14380,13824,23316,,,501,199,302
Pennsylvania State University-Penn State New Kensington,42,PA,1,1,0,2,2,2,2,2,,,93,21,77,456,24,95,88,5,643,600,124,20,23872,1840,14380,13824,23316,,,387,239,148
Pennsylvania State University-Penn State Schuylkill,42,PA,1,1,0,2,2,2,2,2,30518,40456,91,21,82,650,21,95,75,5,816,743,156,16,25118,1840,15180,14624,24562,,,576,212,364
Pennsylvania State University-Penn State Scranton,42,PA,1,1,0,2,2,2,2,2,,,95,11,75,837,32,89,77,5,2240,2125,237,24,25118,1840,15180,14624,24562,,,789,440,349
Pennsylvania State University-Penn State Shenango,42,PA,1,1,0,2,2,2,2,2,,,91,38,52,332,23,98,98,5,209,190,69,8,23310,1840,14002,13568,22876,,,212,88,124
Pennsylvania State University-Penn State Wilkes-Barre,42,PA,1,1,0,2,2,2,2,2,,,95,15,79,348,17,98,91,5,640,605,90,18,23750,1840,14258,13824,23316,,,319,201,118
Pennsylvania State University-Penn State York,42,PA,1,1,0,2,2,2,2,2,,,92,10,77,702,11,90,78,5,2012,1855,181,35,25118,1840,15180,14624,24562,,,586,377,209
Pennsylvania State University-World Campus,42,PA,1,1,0,2,2,2,2,2,,,80,47,66,7945,34,72,59,5,882,708,200,12,15204,1840,15204,15204,15204,,,3347,1438,1909
Pennsylvania Western University,42,PA,1,1,1,1,1,1,1,2,29308,33926,94,28,70,8336,51,95,83,5,6189,5796,1527,16,16006,1240,11388,7716,11574,,,6989,2768,4221
Penrose Academy,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,87,390,87,64,0,,,,,,,,,,,3,1975,390,3,387
Pensacola School of Massage Therapy & Health Careers,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,,56,66,88,0,,,,,,,,,,,2,555,56,8,48
Pensacola State College,12,FL,1,1,0,2,2,2,2,1,,,,,,8518,42,79,36,,,,,,9407,900,2348,1871,7483,,,3397,1272,2125
Penta County Joint Vocational School,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,,67,100,100,0,,,,,,,,,,,1,597,,,
Pentecostal Theological Seminary,47,TN,2,2,0,2,2,2,2,-2,,,,,,116,,,,,,,,,,,,,,,,,,
Pepperdine University,6,CA,1,1,1,2,1,1,1,2,93512,93512,50,12,86,3629,85,92,89,5,12457,6210,732,14,66742,1000,66742,65990,65990,,,3442,1406,2036
Peralta Community College System Office,6,CA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Perry Technical Institute,53,WA,1,1,0,2,2,2,2,1,,,,,89,973,77,96,0,,,,,,,,,,,14,4455,973,794,179
Personal Touch Beauty and Barber College,45,SC,1,1,-2,-2,-2,-2,-2,1,,,,,100,12,,100,0,,,,,,,,,,,1,2000,6,3,3
Peru State College,31,NE,1,1,0,1,1,1,1,1,22476,22476,,,63,1452,38,99,84,,,,,,8280,960,8280,5760,5760,,,926,394,532
Pets Playground Grooming School,12,FL,2,2,-2,-2,-2,-2,-2,1,,,,,,18,,,,,,,,,,,,,,2,,,,
Pfeiffer University,37,NC,1,1,1,2,1,1,1,2,48950,48950,95,13,68,654,43,100,99,3,1637,1560,195,,33930,500,33930,32580,32580,,,624,327,297
Phagans Beauty College,41,OR,1,1,-2,2,2,2,2,1,,,,,83,59,79,56,5,,,,,,,,,,,7,2714,59,2,57
Phagans Central Oregon Beauty College,41,OR,1,1,-2,2,2,2,2,1,,,,,74,101,83,77,21,,,,,,,,,,,7,1409,101,9,92
Phagans Grants Pass College of Beauty,41,OR,1,1,-2,2,2,2,2,1,,,,,89,43,80,77,15,,,,,,,,,,,7,1757,43,2,41
Phagans Medford Beauty School,41,OR,1,1,-2,2,2,2,2,1,,,,,83,32,68,85,3,,,,,,,,,,,7,1757,32,6,26
Phagans School of Beauty,41,OR,1,1,-2,2,2,2,2,1,,,,,90,38,64,87,9,,,,,,,,,,,7,2714,38,3,35
Phagans School of Hair Design,41,OR,1,1,-2,2,2,2,2,1,,,,,97,203,80,76,34,,,,,,,,,,,9,3700,203,31,172
Philadelphia College of Osteopathic Medicine,42,PA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Philadelphia Technician Training,42,PA,1,1,-2,-2,-2,-2,-2,1,,,,,58,492,50,93,0,,,,,,,,,,,7,0,492,349,143
Philander Smith University,5,AR,1,1,0,2,1,1,1,1,28526,28526,,,67,848,32,90,60,,,,,,13014,1200,13014,11804,11804,,,669,285,384
Phillips Community College of the University of Arkansas,5,AR,1,1,0,2,2,2,2,1,,,,,81,1356,52,92,23,,,,,,5270,1350,3650,2730,4350,,,483,156,327
Phillips Theological Seminary,40,OK,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Phipps Academy of Barbering,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,0,26,46,100,0,,,,,,,,,,,3,1500,13,10,3
Phoenix College,4,AZ,1,1,0,2,2,2,2,1,,,,,62,10384,18,77,33,,,,,,8958,1104,2358,2328,8928,,,2222,891,1331
Phoenix Institute,13,GA,1,1,-2,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,3,0,,,
Phoenix Institute of Herbal Medicine & Acupuncture,4,AZ,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Phoenix Seminary,4,AZ,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
PiBerry Institute,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,72,96,88,15,0,,,,,,,,,,,4,0,96,2,94
Pickaway Ross Joint Vocational School District,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,100,237,97,78,0,,,,,,,,,,,12,1944,84,17,67
Pickens Technical College,8,CO,1,1,-2,2,2,2,2,1,,,,,55,1025,58,80,10,,,,,,8330,600,4930,3900,7800,,,1016,541,475
Piedmont Community College,37,NC,1,1,0,2,2,2,2,1,,,,,67,1250,42,100,11,,,,,,8700,608,2556,2432,8576,,,118,42,76
Piedmont Technical College,45,SC,1,1,0,2,2,2,2,1,,,,,57,4999,33,96,7,,,,,,6923,2500,5675,5430,6678,,,1822,705,1117
Piedmont University,13,GA,1,1,1,2,1,1,1,2,47908,47908,93,15,77,1261,41,100,100,5,2066,1918,285,33,30680,1298,30680,30200,30200,,,1171,381,790
Piedmont Virginia Community College,51,VA,1,1,0,2,2,2,2,1,,,,,66,5174,35,68,10,,,,,,10931,1800,4928,4788,10086,,,1076,509,567
Pierce College District,53,WA,1,1,0,2,2,2,2,1,22949,23474,,,,7427,31,49,10,,,,,,5211,1000,4686,4074,4599,,,4892,1839,3053
Pierpont Community and Technical College,54,WV,1,1,0,2,2,2,2,1,,,,,63,1939,39,94,19,,,,,,13262,1000,5594,4580,11332,,,709,308,401
Pike County Joint Vocational School District,39,OH,2,2,-2,-2,-2,-2,-2,1,,,,,,38,,,,,,,,,,,,,,5,,,,
Pike-Lincoln Technical Center,29,MO,1,1,-2,-2,-2,-2,-2,1,,,,,10,35,73,82,27,,,,,,,,,,,8,4850,34,5,29
Pikes Peak State College,8,CO,1,1,0,2,2,2,2,1,,,,,,12388,23,88,1,,,,,,16534,1460,4302,3941,16173,,,4332,1944,2388
Pillar College,34,NJ,1,1,0,2,2,2,2,1,,,,,81,489,34,95,88,,,,,,24820,1500,24820,24120,24120,,,460,81,379
Pima Community College,4,AZ,1,1,0,2,2,2,2,1,,,,,67,15819,21,70,15,,,,,,7686,1920,2370,2208,7524,,,3612,1786,1826
Pima Medical Institute-Albuquerque,35,NM,1,1,0,2,2,2,2,1,,,,,77,737,59,90,0,,,,,,,,,,,12,867,737,138,599
Pima Medical Institute-Aurora,8,CO,1,1,0,2,2,2,2,1,,,,,72,290,55,79,0,,,,,,,,,,,6,867,290,30,260
Pima Medical Institute-Chula Vista,6,CA,1,1,0,2,2,2,2,1,,,,,74,675,57,88,1,,,,,,,,,,,8,867,675,137,538
Pima Medical Institute-Colorado Springs,8,CO,1,1,0,2,2,2,2,1,,,,,79,339,66,80,3,,,,,,,,,,,7,876,339,57,282
Pima Medical Institute-Denver,8,CO,1,1,0,2,2,2,2,1,,,,,80,764,64,100,1,,,,,,,,,,,13,867,764,143,621
Pima Medical Institute-Dillon,30,MT,1,1,0,2,2,2,2,1,,,,,75,21,63,95,32,,,,,,,,,,,2,1346,21,1,20
Pima Medical Institute-East Valley,4,AZ,1,1,0,2,2,2,2,1,,,,,82,373,70,50,1,,,,,,,,,,,7,376,373,40,333
Pima Medical Institute-El Paso,48,TX,1,1,0,2,2,2,2,1,,,,,76,667,51,95,1,,,,,,,,,,,9,867,667,118,549
Pima Medical Institute-Houston,48,TX,1,1,0,2,2,2,2,1,,,,,79,1019,59,85,0,,,,,,,,,,,13,867,1019,146,873
Pima Medical Institute-Las Vegas,32,NV,1,1,0,2,2,2,2,1,,,,,67,748,49,90,3,,,,,,,,,,,11,867,748,204,544
Pima Medical Institute-Mesa,4,AZ,1,1,0,2,2,2,2,1,,,,,81,721,63,100,0,,,,,,,,,,,9,2353,721,192,529
Pima Medical Institute-Phoenix,4,AZ,1,1,0,2,2,2,2,1,,,,,83,830,53,73,1,,,,,,,,,,,10,376,830,96,734
